name,category,address,neighborhood,gu,latitude,longitude,rating,signature_menu,hours,phone,img,naver_url
자연도소금빵 성수,베이커리,서울특별시 성동구 성수이로 78,성수동,성동구,37.54388,127.05528,4.6,"소금빵, 크루아상, 버터스카치",08:00-20:00,,https://images.unsplash.com/photo-1608198093002-ad4e005484ec?w=400&q=80,https://map.naver.com/v5/search/%EC%9E%90%EC%97%B0%EB%8F%84%EC%86%8C%EA%B8%88%EB%B9%B5%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
카페봄봄 성수,카페,서울특별시 성동구 서울숲길 17,성수동,성동구,37.545,127.04473,4.3,"아메리카노, 딸기라떼, 케이크",10:00-21:00,,https://images.unsplash.com/photo-1442512595331-e89e73853f31?w=400&q=80,https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%B4%84%EB%B4%84%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
몬탁 성수,카페/베이커리,서울특별시 성동구 아차산로9길 31,성수동,성동구,37.54455,127.05597,4.9,"크루아상, 바스크치즈케이크, 커피",09:00-20:00,,https://images.unsplash.com/photo-1622253692010-333f2da6031d?w=400&q=80,https://map.naver.com/v5/search/%EB%AA%AC%ED%83%81%20%EC%84%B1%EC%88%98%20%EC%84%B1%EB%8F%99%EA%B5%AC
커피몽타주 망원점,카페,서울특별시 마포구 포은로6길 11,망원동,마포구,37.55711,126.90443,4.7,"핸드드립커피, 에스프레소",11:00-21:00,02-323-8532,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=400&q=80,https://map.naver.com/v5/search/%EC%BB%A4%ED%94%BC%EB%AA%BD%ED%83%80%EC%A3%BC%20%EB%A7%9D%EC%9B%90%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
문화제빵 망원점,베이커리,서울특별시 마포구 망원로 75,망원동,마포구,37.55631,126.90321,4.6,"소금빵, 크루아상, 바게트",09:00-21:00,,https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=400&q=80,https://map.naver.com/v5/search/%EB%AC%B8%ED%99%94%EC%A0%9C%EB%B9%B5%20%EB%A7%9D%EC%9B%90%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
노티드 망원점,베이커리,서울특별시 마포구 월드컵로 76,망원동,마포구,37.55541,126.90284,4.6,"도넛, 크림도넛, 레몬도넛",09:00-21:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%EB%85%B8%ED%8B%B0%EB%93%9C%20%EB%A7%9D%EC%9B%90%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
망원동빵집 르빵,베이커리,서울특별시 마포구 망원로 25,망원동,마포구,37.55589,126.90311,4.4,"밤식빵, 소금빵, 단팥빵",08:00-20:00,,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=400&q=80,https://map.naver.com/v5/search/%EB%A7%9D%EC%9B%90%EB%8F%99%EB%B9%B5%EC%A7%91%20%EB%A5%B4%EB%B9%B5%20%EB%A7%88%ED%8F%AC%EA%B5%AC
메종엠오 망원,카페/베이커리,서울특별시 마포구 포은로 109,망원동,마포구,37.55654,126.90511,4.4,"스콘, 피낭시에, 라떼",11:00-21:00,,https://images.unsplash.com/photo-1622253692010-333f2da6031d?w=400&q=80,https://map.naver.com/v5/search/%EB%A9%94%EC%A2%85%EC%97%A0%EC%98%A4%20%EB%A7%9D%EC%9B%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
카페 레이어드 연남점,카페/베이커리,서울특별시 마포구 연남로1길 36,연남동,마포구,37.56101,126.92493,4.6,"스콘, 케이크, 얼그레이라떼",11:00-22:00,02-323-8532,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=400&q=80,https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%20%EB%A0%88%EC%9D%B4%EC%96%B4%EB%93%9C%20%EC%97%B0%EB%82%A8%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
에이벡 체리,베이커리,서울특별시 마포구 연남동 257-22,연남동,마포구,37.56101,126.92493,4.4,"소금빵, 크루아상, 버터롤",09:00-20:00,,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EC%97%90%EC%9D%B4%EB%B2%A1%20%EC%B2%B4%EB%A6%AC%20%EB%A7%88%ED%8F%AC%EA%B5%AC
트리플베이글 잔다리점,베이커리,서울특별시 마포구 잔다리로 42,연남동,마포구,37.55831,126.92251,4.5,"플레인베이글, 에브리씽베이글, 크림치즈",09:00-21:00,,https://images.unsplash.com/photo-1586444248902-2f64eddc8df5?w=400&q=80,https://map.naver.com/v5/search/%ED%8A%B8%EB%A6%AC%ED%94%8C%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%9E%94%EB%8B%A4%EB%A6%AC%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
아오이토리 연남,베이커리,서울특별시 마포구 동교로 272,연남동,마포구,37.56201,126.92513,4.5,"말차멜론빵, 앙꼬버터, 모닝플레이트",08:00-20:00,,https://images.unsplash.com/photo-1627308595171-d1b5d67129c4?w=400&q=80,https://map.naver.com/v5/search/%EC%95%84%EC%98%A4%EC%9D%B4%ED%86%A0%EB%A6%AC%20%EC%97%B0%EB%82%A8%20%EB%A7%88%ED%8F%AC%EA%B5%AC
연남방앗간,카페/디저트,서울특별시 마포구 연남로 240-34,연남동,마포구,37.56051,126.92442,4.4,"인절미라떼, 전통디저트, 식혜",11:00-21:00,02-336-7768,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&q=80,https://map.naver.com/v5/search/%EC%97%B0%EB%82%A8%EB%B0%A9%EC%95%97%EA%B0%84%20%EB%A7%88%ED%8F%AC%EA%B5%AC
케이트앤케이크 연남,베이커리,서울특별시 마포구 연남동 223-20,연남동,마포구,37.56111,126.92531,4.5,"몽블랑쇼콜라케이크, 쑥케이크, 콩고물인절미",11:00-22:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%EC%BC%80%EC%9D%B4%ED%8A%B8%EC%95%A4%EC%BC%80%EC%9D%B4%ED%81%AC%20%EC%97%B0%EB%82%A8%20%EB%A7%88%ED%8F%AC%EA%B5%AC
성미산로 카페 에뜨와,카페,서울특별시 마포구 성미산로32길 20-5,연남동,마포구,37.56198,126.92523,4.5,"스페셜티커피, 케이크",11:00-21:00,02-334-0615,https://images.unsplash.com/photo-1515823662972-da6a2e4d3002?w=400&q=80,https://map.naver.com/v5/search/%EC%84%B1%EB%AF%B8%EC%82%B0%EB%A1%9C%20%EC%B9%B4%ED%8E%98%20%EC%97%90%EB%9C%A8%EC%99%80%20%EB%A7%88%ED%8F%AC%EA%B5%AC
오월의종 홍대점,베이커리,서울특별시 마포구 동교로 145-1,서교동,마포구,37.55312,126.92533,4.5,"천연발효빵, 바게트, 크루아상",09:00-20:00,02-3143-3579,https://images.unsplash.com/photo-1619096252214-ef06c45683e3?w=400&q=80,https://map.naver.com/v5/search/%EC%98%A4%EC%9B%94%EC%9D%98%EC%A2%85%20%ED%99%8D%EB%8C%80%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
앤트러사이트 합정점,카페,서울특별시 마포구 토정로 45,합정동,마포구,37.55041,126.91361,4.6,"스페셜티커피, 스콘",10:00-22:00,,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80,https://map.naver.com/v5/search/%EC%95%A4%ED%8A%B8%EB%9F%AC%EC%82%AC%EC%9D%B4%ED%8A%B8%20%ED%95%A9%EC%A0%95%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
밀도 합정점,베이커리,서울특별시 마포구 독막로 19,합정동,마포구,37.54931,126.91251,4.6,"식빵, 크루아상, 소금버터롤",08:00-20:00,,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EB%B0%80%EB%8F%84%20%ED%95%A9%EC%A0%95%EC%A0%90%20%EB%A7%88%ED%8F%AC%EA%B5%AC
카페 노티스 합정,카페,서울특별시 마포구 합정동 415-5,합정동,마포구,37.55001,126.91321,4.4,"핸드드립커피, 케이크",10:00-22:00,,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=400&q=80,https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%20%EB%85%B8%ED%8B%B0%EC%8A%A4%20%ED%95%A9%EC%A0%95%20%EB%A7%88%ED%8F%AC%EA%B5%AC
아티장베이커스 한남점,베이커리,서울특별시 용산구 한남동 829,한남동,용산구,37.53561,127.00361,4.6,"천연발효빵, 바게트, 치아바타",09:00-21:00,070-7733-0390,https://images.unsplash.com/photo-1627308595171-d1b5d67129c4?w=400&q=80,https://map.naver.com/v5/search/%EC%95%84%ED%8B%B0%EC%9E%A5%EB%B2%A0%EC%9D%B4%EC%BB%A4%EC%8A%A4%20%ED%95%9C%EB%82%A8%EC%A0%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
베이커리 아우어 한남점,베이커리,서울특별시 용산구 한남동 657-63,한남동,용산구,37.53641,127.00411,4.5,"크루아상, 소금빵, 버터스카치롤",09:00-21:00,,https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=400&q=80,https://map.naver.com/v5/search/%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EC%95%84%EC%9A%B0%EC%96%B4%20%ED%95%9C%EB%82%A8%EC%A0%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
타르틴베이커리 도산점,베이커리,서울특별시 강남구 도산대로 437,압구정동,강남구,37.52721,127.03971,4.6,"컨트리브레드, 크루아상, 알몬드크루아상",10:00-21:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%ED%83%80%EB%A5%B4%ED%8B%B4%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EB%8F%84%EC%82%B0%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
테디버 하우스 이태원,카페/디저트,서울특별시 용산구 후암로 68,후암동,용산구,37.53631,126.97251,4.8,"망고타르트, 에그타르트, 커피",11:00-21:00,070-8269-0715,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&q=80,https://map.naver.com/v5/search/%ED%85%8C%EB%94%94%EB%B2%84%20%ED%95%98%EC%9A%B0%EC%8A%A4%20%EC%9D%B4%ED%83%9C%EC%9B%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
빈브라더스 한남점,카페,서울특별시 용산구 이태원로 240,이태원동,용산구,37.53441,126.99321,4.8,"시그니처커피, 스콘",10:00-22:00,,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400&q=80,https://map.naver.com/v5/search/%EB%B9%88%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4%20%ED%95%9C%EB%82%A8%EC%A0%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
앤트러사이트 한남점,카페,서울특별시 용산구 독서당로 67,한남동,용산구,37.53491,127.00241,4.6,"스페셜티커피, 구움과자",10:00-22:00,,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=400&q=80,https://map.naver.com/v5/search/%EC%95%A4%ED%8A%B8%EB%9F%AC%EC%82%AC%EC%9D%B4%ED%8A%B8%20%ED%95%9C%EB%82%A8%EC%A0%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
로컬빌라베이글 이태원,베이커리,서울특별시 용산구 이태원동 64-10,이태원동,용산구,37.53541,126.99541,4.5,"플레인베이글, 크림치즈베이글, 에브리씽",09:00-20:00,,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EB%A1%9C%EC%BB%AC%EB%B9%8C%EB%9D%BC%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%9D%B4%ED%83%9C%EC%9B%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
더베이커스테이블 이태원,베이커리,서울특별시 용산구 이태원로 177,이태원동,용산구,37.53481,126.99421,4.5,"독일빵, 프레첼, 브레첸",09:00-20:00,,https://images.unsplash.com/photo-1586444248902-2f64eddc8df5?w=400&q=80,https://map.naver.com/v5/search/%EB%8D%94%EB%B2%A0%EC%9D%B4%EC%BB%A4%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%20%EC%9D%B4%ED%83%9C%EC%9B%90%20%EC%9A%A9%EC%82%B0%EA%B5%AC
어니언 안국점,카페/베이커리,서울특별시 종로구 안국동 164,안국동,종로구,37.57961,126.98491,4.6,"팡도르, 소금빵, 아메리카노",10:00-21:00,,https://images.unsplash.com/photo-1622253692010-333f2da6031d?w=400&q=80,https://map.naver.com/v5/search/%EC%96%B4%EB%8B%88%EC%96%B8%20%EC%95%88%EA%B5%AD%EC%A0%90%20%EC%A2%85%EB%A1%9C%EA%B5%AC
딥블루레이크,카페,서울특별시 종로구 사직로8길 21,내자동,종로구,37.57791,126.97071,4.5,"스페셜티커피, 케이크",10:00-21:00,070-7590-0885,https://images.unsplash.com/photo-1515823662972-da6a2e4d3002?w=400&q=80,https://map.naver.com/v5/search/%EB%94%A5%EB%B8%94%EB%A3%A8%EB%A0%88%EC%9D%B4%ED%81%AC%20%EC%A2%85%EB%A1%9C%EA%B5%AC
온지심 종로3가,베이커리,서울특별시 종로구 안국동 164,안국동,종로구,37.57611,126.99421,4.4,"베이글, 쫀득베이글",10:00-20:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%EC%98%A8%EC%A7%80%EC%8B%AC%20%EC%A2%85%EB%A1%9C3%EA%B0%80%20%EC%A2%85%EB%A1%9C%EA%B5%AC
태극당 본점,베이커리,서울특별시 중구 동호로24길 7,장충동,중구,37.55661,127.00631,4.6,"모나카아이스크림, 단팥빵, 버터빵",08:00-21:00,02-2266-0074,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=400&q=80,https://map.naver.com/v5/search/%ED%83%9C%EA%B7%B9%EB%8B%B9%20%EB%B3%B8%EC%A0%90%20%EC%A4%91%EA%B5%AC
익선다방,카페/전통,서울특별시 종로구 수표로28길 17-1,익선동,종로구,37.57561,126.99521,4.4,"전통차, 수정과, 쌍화차",12:00-22:00,,https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=400&q=80,https://map.naver.com/v5/search/%EC%9D%B5%EC%84%A0%EB%8B%A4%EB%B0%A9%20%EC%A2%85%EB%A1%9C%EA%B5%AC
커피한약방 익선동,카페,서울특별시 종로구 돈화문로11나길 26,익선동,종로구,37.57501,126.99461,4.5,"한방커피, 쌍화라떼",11:00-21:00,,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=400&q=80,https://map.naver.com/v5/search/%EC%BB%A4%ED%94%BC%ED%95%9C%EC%95%BD%EB%B0%A9%20%EC%9D%B5%EC%84%A0%EB%8F%99%20%EC%A2%85%EB%A1%9C%EA%B5%AC
기욤 신사점,베이커리,서울특별시 강남구 강남대로162길 22,신사동,강남구,37.52581,127.02451,4.7,"크루아상, 에클레어, 마카롱",09:00-20:00,02-3443-1227,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EA%B8%B0%EC%9A%A4%20%EC%8B%A0%EC%82%AC%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
아우어 베이커리 청담점,베이커리,서울특별시 강남구 청담동 121-28,청담동,강남구,37.52531,127.04561,4.6,"크루아상, 바스크치즈케이크, 소금빵",09:00-21:00,070-8846-3331,https://images.unsplash.com/photo-1586444248902-2f64eddc8df5?w=400&q=80,https://map.naver.com/v5/search/%EC%95%84%EC%9A%B0%EC%96%B4%20%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EC%B2%AD%EB%8B%B4%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
오뗄두스 청담점,카페/베이커리,서울특별시 강남구 도산대로11길 28,신사동,강남구,37.52501,127.02441,4.6,"타르트, 케이크, 마카롱",11:00-20:00,02-3443-0030,https://images.unsplash.com/photo-1558303648-4b711e5f8e72?w=400&q=80,https://map.naver.com/v5/search/%EC%98%A4%EB%97%84%EB%91%90%EC%8A%A4%20%EC%B2%AD%EB%8B%B4%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
노티드 도넛 강남점,베이커리,서울특별시 강남구 논현로 842,논현동,강남구,37.51781,127.02881,4.6,"도넛, 크림도넛, 레몬도넛",08:00-22:00,,https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=400&q=80,https://map.naver.com/v5/search/%EB%85%B8%ED%8B%B0%EB%93%9C%20%EB%8F%84%EB%84%9B%20%EA%B0%95%EB%82%A8%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
런던베이글뮤지엄 압구정점,베이커리,서울특별시 강남구 압구정로34길 26,신사동,강남구,37.52581,127.02451,4.7,"베이글, 크림치즈, 스모크연어베이글",08:00-21:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%EB%9F%B0%EB%8D%98%EB%B2%A0%EC%9D%B4%EA%B8%80%EB%AE%A4%EC%A7%80%EC%97%84%20%EC%95%95%EA%B5%AC%EC%A0%95%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
갸또 압구정,베이커리,서울특별시 강남구 압구정로34길 15,신사동,강남구,37.52611,127.02491,4.5,"마카롱, 케이크, 피낭시에",11:00-21:00,,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=400&q=80,https://map.naver.com/v5/search/%EA%B0%B8%EB%98%90%20%EC%95%95%EA%B5%AC%EC%A0%95%20%EA%B0%95%EB%82%A8%EA%B5%AC
쇼토 디저트,카페/디저트,서울특별시 강남구 압구정로50길 5,압구정동,강남구,37.52701,127.03961,4.9,"제주애플망고쇼트케이크, 계절과일케이크",12:00-20:00,,https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=400&q=80,https://map.naver.com/v5/search/%EC%87%BC%ED%86%A0%20%EB%94%94%EC%A0%80%ED%8A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC
당옥 신사,카페/전통,서울특별시 강남구 논현로175길 109,신사동,강남구,37.51791,127.02181,4.5,"약과, 전통한과, 한방차",11:00-21:00,010-9727-8190,https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=400&q=80,https://map.naver.com/v5/search/%EB%8B%B9%EC%98%A5%20%EC%8B%A0%EC%82%AC%20%EA%B0%95%EB%82%A8%EA%B5%AC
나폴레옹과자점 강남점,베이커리,서울특별시 강남구 강남대로162길 40,신사동,강남구,37.52521,127.02381,4.5,"슈크림, 케이크, 단팥빵",09:00-21:00,02-545-3639,https://images.unsplash.com/photo-1517433367423-c7e5b0f35086?w=400&q=80,https://map.naver.com/v5/search/%EB%82%98%ED%8F%B4%EB%A0%88%EC%98%B9%EA%B3%BC%EC%9E%90%EC%A0%90%20%EA%B0%95%EB%82%A8%EC%A0%90%20%EA%B0%95%EB%82%A8%EA%B5%AC
카페마마스 가로수길,카페/베이커리,서울특별시 강남구 강남대로162길 29,신사동,강남구,37.52541,127.02371,4.4,"아메리카노, 케이크, 스콘",10:00-22:00,,https://images.unsplash.com/photo-1622253692010-333f2da6031d?w=400&q=80,https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%A7%88%EB%A7%88%EC%8A%A4%20%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC
폴앤폴리나 청담,카페/베이커리,서울특별시 강남구 선릉로157길 34,청담동,강남구,37.52481,127.04991,4.5,"케이크, 마카롱, 라떼",11:00-20:00,,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=400&q=80,https://map.naver.com/v5/search/%ED%8F%B4%EC%95%A4%ED%8F%B4%EB%A6%AC%EB%82%98%20%EC%B2%AD%EB%8B%B4%20%EA%B0%95%EB%82%A8%EA%B5%AC
SHOTO 압구정,카페/디저트,서울특별시 강남구 압구정로50길 5,압구정동,강남구,37.52721,127.03961,4.9,"시즌케이크, 몽블랑, 타르트",12:00-20:00,,https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=400&q=80,https://map.naver.com/v5/search/SHOTO%20%EC%95%95%EA%B5%AC%EC%A0%95%20%EA%B0%95%EB%82%A8%EA%B5%AC
크레미엘 양재점,베이커리,서울특별시 서초구 양재천로21길 3,양재동,서초구,37.47811,127.03521,4.6,"크루아상, 팽오쇼콜라, 까눌레",09:00-20:00,,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80,https://map.naver.com/v5/search/%ED%81%AC%EB%A0%88%EB%AF%B8%EC%97%98%20%EC%96%91%EC%9E%AC%EC%A0%90%20%EC%84%9C%EC%B4%88%EA%B5%AC
파티스리 크레미엘 방배,베이커리,서울특별시 서초구 방배로26길 22,방배동,서초구,37.48141,126.99271,4.7,"몽블랑, 마들렌, 피낭시에",10:00-20:00,070-4239-3335,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=400&q=80,https://map.naver.com/v5/search/%ED%8C%8C%ED%8B%B0%EC%8A%A4%EB%A6%AC%20%ED%81%AC%EB%A0%88%EB%AF%B8%EC%97%98%20%EB%B0%A9%EB%B0%B0%20%EC%84%9C%EC%B4%88%EA%B5%AC
르 꽁파니옹 서초,베이커리,서울특별시 서초구 서초대로58길 37,서초동,서초구,37.49831,127.02381,4.6,"타르트, 몽블랑, 에클레르, 마카롱",10:00-20:00,02-585-9997,https://images.unsplash.com/photo-1619096252214-ef06c45683e3?w=400&q=80,https://map.naver.com/v5/search/%EB%A5%B4%20%EA%BD%81%ED%8C%8C%EB%8B%88%EC%98%B9%20%EC%84%9C%EC%B4%88%20%EC%84%9C%EC%B4%88%EA%B5%AC
